epsilon,random_mean_S,random_min_S,random_tube_max_S,random_mean_R,random_min_R,random_tube_max_R,random_meanmax_S,random_max_S,random_meanmax_R,random_max_R,pgd_mean_S,pgd_min_S,pgd_max_S,pgd_mean_R,pgd_min_R,pgd_max_R,acceptance_rate,flip_rate
0.1,0.003997721035499076,0.0022692235652357,0.0063758273608982,0.052433782862712414,0.0307474578514688,0.0828630001315697,0.006248459142167072,0.0121900988742709,0.08169789012997672,0.1562690303928502,0.01102393667679275,0.0064286575652658,0.0214020200073719,0.13047241742070842,0.0745592292946528,0.2617072313882808,0.9996,0.01
0.25,0.00983468506857748,0.0056459265761077,0.0148783922195434,0.052216033493787714,0.0309209196268667,0.0787321823733818,0.015221038009971332,0.0249853543937206,0.08047972779671375,0.1378225219491124,0.027351346630603027,0.0168319717049598,0.0502771250903606,0.1300059552206518,0.0781613199984638,0.250598971843607,0.99848,0.018
0.5,0.019537618041038467,0.0110317645594477,0.0303105693310499,0.05226860169531191,0.0300443327440082,0.0809315930896242,0.030388782367110206,0.0522437393665313,0.08092475004423677,0.1392486515932619,0.054183685779571486,0.0337419025599956,0.0972228199243545,0.12941757043491242,0.0799490298474409,0.2441493702459353,0.99538,0.034
0.75,0.029235674809664443,0.0168165117502212,0.0438607819378376,0.052332039354616,0.0307868922800521,0.0786278293961314,0.04525838359817858,0.0744179114699363,0.0808621525757659,0.1365942934222022,0.08153354097902771,0.0504784062504768,0.1477949023246765,0.13007901587188064,0.0800380067450541,0.2488622691267454,0.99236,0.08
1.0,0.038930430263280816,0.0218475367873907,0.0574854873120784,0.05238623606101551,0.0296830152026744,0.0783663620523125,0.059999641776084855,0.0990421250462532,0.08029182068950315,0.1275314138855692,0.10934852376580234,0.0671863704919815,0.2028252631425857,0.13103494699092524,0.0803274575560185,0.2585387239405578,0.9907,0.126
2.0,0.07762580813619795,0.0425180345773696,0.1134874746203422,0.05256706466480009,0.0291946946095585,0.0768340006974793,0.11914808372547006,0.1998413354158401,0.08025632498660673,0.1355341757738714,0.22508298036456106,0.1333258152008056,0.4109555184841156,0.13556106131744758,0.0816229451367476,0.2653762130298314,0.98576,0.332
4.0,0.15466123341134852,0.0840729773044586,0.2147335112094879,0.052859481473783256,0.0288538018998165,0.0736743311537252,0.2360385925147375,0.4285570681095123,0.08023643357860198,0.1477986468283786,0.4648068002462387,0.2102235853672027,0.8371819853782654,0.14181722743949488,0.0678973621614628,0.2773360878472639,0.96316,0.826
6.0,0.22981721811717554,0.1448902487754821,0.3373228907585144,0.05281469872172657,0.0333872014512409,0.0778485177443781,0.3455393699208094,0.5929074883460999,0.0789947352063965,0.1379753792153716,0.6878604225516319,0.2891011834144592,1.1532654762268066,0.14237284896935318,0.0631293985335765,0.2533272750297023,0.9225,0.988
8.0,0.3037800594529564,0.1824845075607299,0.4823364019393921,0.05278921626133462,0.032700540466579,0.0843413051577628,0.45317778030587985,0.7373449206352234,0.07827557221974589,0.1241153550802537,0.8695111006498337,0.3523962795734405,1.4238158464431765,0.1375168300603375,0.0585154980105895,0.2300318967643088,0.8719199999999999,1.0
10.0,0.3770746898286197,0.1798805445432663,0.61749666929245,0.05299108715472096,0.0257162552794373,0.0870825481702254,0.5514729566415962,0.8716530203819275,0.07695818712721894,0.1237392052472947,0.995532590329647,0.4181304574012756,1.60652756690979,0.12834577324779994,0.0560377276197055,0.2099548263107779,0.81176,1.0
12.0,0.4465051844469772,0.2747551798820495,0.7674453258514404,0.0533421899617903,0.0327624863074314,0.0911470489326171,0.6415619678364313,1.0687878131866455,0.0763010991317186,0.1311463854561005,1.0890896379351616,0.479956179857254,1.84755539894104,0.11863262601750078,0.0541170428073346,0.1951837521020977,0.7464400000000001,1.0
14.0,0.5099940268256719,0.3043391108512878,0.9125829935073853,0.05371511299169305,0.0318739655571771,0.0963457289873014,0.7212974263631228,1.1758424043655396,0.07556449807405861,0.1307718868203644,1.1619074546098709,0.6261938214302063,1.9823269844055176,0.10946224350396529,0.0600251223837754,0.1776668084739468,0.68068,1.0
16.0,0.5668763575401712,0.3492162823677063,1.008092999458313,0.054152358953148905,0.033312500846092,0.0965591568351819,0.790846738472898,1.436684012413025,0.07503980807291905,0.134785983926326,1.2235797406435014,0.6503468155860901,2.191855907440185,0.10130279985314918,0.0571085215459359,0.1712563484541771,0.61836,1.0
